State Name,County Name,County FIPS,Year,Month,CropDmg,CropDmg(ADJ 2009),CropDmgPerCapita(ADJ 2009),PropertyDmg,PropertyDmg(ADJ 2009),PropertyDmgPerCapita(ADJ 2009),Injuries,InjuriesPerCapita,Fatalities,FatalitiesPerCapita,Duration_Days,Fatalities_Duration,Injuries_Duration,Property_Damage_Duration,Crop_Damage_Duration,Records
NORTH CAROLINA,Avery,'37011',2016,7,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
NORTH CAROLINA,Buncombe,'37021',2014,4,0.00000,0.00000,0.00000,400000.00000,362491.55000,1.44685,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
NORTH CAROLINA,Cabarrus,'37025',2015,8,0.00000,0.00000,0.00000,5000.00000,4525.77000,0.02300,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
NORTH CAROLINA,Catawba,'37035',2016,7,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
NORTH CAROLINA,Gaston,'37071',2012,8,0.00000,0.00000,0.00000,5000.00000,4672.10000,0.02244,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
NORTH CAROLINA,Iredell,'37097',2015,11,0.00000,0.00000,0.00000,20000.00000,18103.09000,0.10657,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
NORTH CAROLINA,McDowell,'37111',2013,4,0.00000,0.00000,0.00000,50000.00000,46046.48000,1.02419,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
NORTH CAROLINA,Mecklenburg,'37119',2012,7,0.00000,0.00000,0.00000,1100000.00000,1027860.92000,1.06099,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
NORTH CAROLINA,Mecklenburg,'37119',2015,11,0.00000,0.00000,0.00000,20000.00000,18103.09000,0.01751,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
NORTH CAROLINA,New Hanover,'37129',2010,9,0.00000,0.00000,0.00000,150000.00000,147579.29000,0.72579,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
NORTH CAROLINA,New Hanover,'37129',2013,8,0.00000,0.00000,0.00000,2000.00000,1841.86000,0.00864,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
NORTH CAROLINA,Polk,'37149',2010,1,0.00000,0.00000,0.00000,70000.00000,68870.34000,3.36840,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
NORTH CAROLINA,Rowan,'37159',2012,7,0.00000,0.00000,0.00000,5000.00000,4672.10000,0.03388,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
NORTH CAROLINA,Swain,'37173',2013,1,0.00000,0.00000,0.00000,200000.00000,184185.92000,13.14299,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
NORTH DAKOTA,Traill,'38097',2011,8,20000.00000,19075.13000,2.36870,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,1.00000,1
MISSOURI,Barry,'29009',2015,7,0.00000,0.00000,0.00000,10000.00000,9051.54000,0.25263,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
MISSOURI,Cape Girardeau,'29031',2011,6,0.00000,0.00000,0.00000,4000.00000,3815.03000,0.04979,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
MISSOURI,Cape Girardeau,'29031',2015,8,0.00000,0.00000,0.00000,5000.00000,4525.77000,0.05760,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
MISSOURI,Wayne,'29223',2010,4,0.00000,0.00000,0.00000,20000.00000,19677.24000,1.45617,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,1
MONTANA,Deer Lodge,'30023',2015,6,0.00000,0.00000,0.00000,15000.00000,13577.32000,1.48565,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
MONTANA,Lake,'30047',2016,6,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
MONTANA,Valley,'30105',2010,6,0.00000,0.00000,0.00000,2000.00000,1967.72000,0.26710,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
NEBRASKA,Adams,'31001',2013,10,0.00000,0.00000,0.00000,400000.00000,368371.84000,11.66435,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,1
NEBRASKA,Clay,'31035',2014,6,0.00000,0.00000,0.00000,25000.00000,22655.72000,3.58760,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,1
NEBRASKA,Franklin,'31061',2014,8,0.00000,0.00000,0.00000,15000.00000,13593.43000,4.41919,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,1
NEBRASKA,Greeley,'31077',2013,10,0.00000,0.00000,0.00000,250000.00000,230232.40000,92.72348,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,1
NEBRASKA,Howard,'31093',2013,10,0.00000,0.00000,0.00000,250000.00000,230232.40000,36.30853,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,1
NEBRASKA,York,'31185',2014,8,0.00000,0.00000,0.00000,15000.00000,13593.43000,0.97675,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,1
NEVADA,Clark,'32003',2010,1,0.00000,0.00000,0.00000,15000.00000,14757.93000,0.00756,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
NEVADA,Clark,'32003',2010,12,0.00000,0.00000,0.00000,20000.00000,19677.24000,0.01007,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
NEVADA,Clark,'32003',2011,7,0.00000,0.00000,0.00000,100000.00000,95375.64000,0.04848,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
NEVADA,Clark,'32003',2013,11,0.00000,0.00000,0.00000,800000.00000,736743.69000,0.36305,0.00000,0.00000,0.00000,0.00000,3.00000,0.00000,0.00000,3.00000,0.00000,1
NEVADA,Clark,'32003',2014,2,0.00000,0.00000,0.00000,250000.00000,226557.22000,0.10946,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
NEVADA,Clark,'32003',2015,1,0.00000,0.00000,0.00000,650000.00000,588350.41000,0.27821,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,2
NEVADA,Clark,'32003',2015,6,0.00000,0.00000,0.00000,10000.00000,9051.54000,0.00428,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
NEW HAMPSHIRE,Carroll,'33003',2012,10,0.00000,0.00000,0.00000,16000.00000,14950.70000,0.31365,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
NEW HAMPSHIRE,Coos,'33007',2012,10,0.00000,0.00000,0.00000,19000.00000,17753.96000,0.55521,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
NEW HAMPSHIRE,Grafton,'33009',2012,10,0.00000,0.00000,0.00000,9000.00000,8409.77000,0.09413,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
NEW JERSEY,Passaic,'34031',2011,8,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,1.00000,1.00000,0.00000,0.00000,0.00000,1
NEW MEXICO,Bernalillo,'35001',2010,7,0.00000,0.00000,0.00000,4000.00000,3935.45000,0.00593,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
NEW MEXICO,Bernalillo,'35001',2013,7,0.00000,0.00000,0.00000,270000.00000,248650.99000,0.36844,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,2
NEW MEXICO,Bernalillo,'35001',2014,8,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,1.00000,0.00000,1.00000,0.00000,0.00000,1
NEW YORK,Essex,'36031',2012,8,0.00000,0.00000,0.00000,20000.00000,18688.38000,0.47838,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1

